episode,season,title,file_name,link
E08,S09,Danger Island: A Discovery,S09_E08_Danger_Island_A_Discovery,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7391396
E01,S10,Archer: 1999 -- Bort the Garj,S10_E01_Archer_1999__Bort_the_Garj,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7786676
E02,S10,Archer: 1999 -- Happy Borthday,S10_E02_Archer_1999__Happy_Borthday,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7792420
E03,S10,Archer: 1999 -- The Leftovers,S10_E03_Archer_1999__The_Leftovers,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7799699
E04,S10,Archer: 1999 -- Dining with the Zarglorp,S10_E04_Archer_1999__Dining_with_the_Zarglorp,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7814573
E05,S10,Archer: 1999 -- Mr. Deadly Goes to Town,S10_E05_Archer_1999__Mr_Deadly_Goes_to_Town,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7817423
E06,S10,Archer: 1999 -- Road Trip,S10_E06_Archer_1999__Road_Trip,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7829267
E07,S10,Archer: 1999 -- Space Pirates,S10_E07_Archer_1999__Space_Pirates,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7835814
E08,S10,Archer: 1999 -- Cubert,S10_E08_Archer_1999__Cubert,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7843108
E09,S10,Archer: 1999 -- Robert De Niro,S10_E09_Archer_1999__Robert_De_Niro,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7849736
